,Input Soil Properties,,,,,,,,"Saxton et al., 1986",,,,,"Campbell and Shiosawa, 1992",,,,,"Rawls and Brakensiek, 1985",,,,,"Williams et al., 1992",,,,,"Williams et al., 1992",,,,,"Oosterveld and Chang, 1980",,,,,"Mayr and Jarvice, 1999",,,,,"Wo¨sten et al., 1999",,,,,,"Varallyay et al., 1982",,,,,,"Vereecken et al., 1989",,,,,,"Wo¨sten et al., 1999",,,,,,"Tomasella and Hodnett, 1998",,,,,,"Rawls et al., 1982",,,,,,"Gupta and Larson, 1979",,,,,,"Rajkai and Varallyay, 1992",,,,,,"Rawls et al., 1983",,,,,
33,15,39.3,42.5,18.30,-1,1.305000012,2.65,,0,0.5075,12.6785,0.2054,20.5229,0,0.5075,29.7901,0.157,50.0426,0.0771,0.5075,19.8775,0.328,29.8968,0,0.5075,10.3427,0.1603,17.3263,-1,-1,-1,-1,-1,0,0.5075,8.7959,0.19,14.3984,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5078,0.0027,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,15,46.2,38.7,15.10,-1,1.305000012,2.65,,0,0.5075,9.4278,0.2097,15.2151,0,0.5075,24.8182,0.1813,40.8938,0.0697,0.5075,15.668,0.3437,23.3822,0,0.5075,11.6302,0.1889,19.0536,-1,-1,-1,-1,-1,0,0.5075,5.0541,0.19,8.2733,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5057,0.004,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,15,45.1,43.6,11.20,-1,1.305000012,2.65,,0,0.5075,13.4468,0.2374,21.3002,0,0.5075,23.1349,0.1963,37.6943,0.0563,0.5075,17.2845,0.3617,25.5737,0,0.5075,11.3484,0.2028,18.4046,-1,-1,-1,-1,-1,0,0.5075,3.5396,0.19,5.7942,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5036,0.0066,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,15,48.9,38.6,12.50,-1,1.305000012,2.65,,0,0.5075,9.4047,0.2208,15.0616,0,0.5075,22.4175,0.1983,36.4735,0.062,0.5075,14.766,0.3569,21.8967,0,0.5075,12.0659,0.2073,19.5057,-1,-1,-1,-1,-1,0,0.5075,3.4721,0.19,5.6836,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5042,0.0056,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,15,54.4,35.4,10.20,-1,1.264540812,2.65,,0,0.5228,6.7736,0.2261,10.8096,0,0.5228,17.7347,0.2229,28.362,0.0551,0.5228,12.076,0.3665,17.8281,0,0.5228,12.0795,0.2387,19.118,-1,-1,-1,-1,-1,0,0.5228,1.5325,0.19,2.5086,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5259,0.0091,0.3719,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,15,70.0,24.4,5.60,-1,1.264540812,2.65,,0,0.5228,3.476,0.2401,5.4967,0,0.5228,12.797,0.3086,19.4424,0.0424,0.5228,8.7684,0.4029,12.7385,0,0.5228,14.4186,0.3308,21.655,-1,-1,-1,-1,-1,0,0.5228,0.3676,0.19,0.6017,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5244,0.016,0.3719,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,15,68.0,24.7,7.40,-1,1.264540812,2.65,,0,0.5228,3.1527,0.2245,5.0366,0,0.5228,13.6755,0.2837,21.0633,0.0488,0.5228,8.4679,0.3897,12.3717,0,0.5228,14.2956,0.3068,21.7396,-1,-1,-1,-1,-1,0,0.5228,0.5385,0.19,0.8815,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5249,0.0128,0.3719,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,15,81.8,13.6,4.60,-1,1.264540812,2.65,,0,0.5228,1.4347,0.2348,2.2764,0,0.5228,10.4993,0.3803,15.4033,0.0419,0.5228,6.5596,0.4237,9.4479,0,0.5228,16.1651,0.3957,23.5564,-1,-1,-1,-1,-1,0,0.5228,0.1438,0.19,0.2353,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5242,0.0182,0.3719,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,15,57.7,30.5,11.80,-1,1.305000012,2.65,,0,0.5075,5.0899,0.2076,8.2266,0,0.5075,19.1725,0.2212,30.6968,0.0625,0.5075,10.7828,0.3628,15.9461,0,0.5075,13.6866,0.2387,21.6623,-1,-1,-1,-1,-1,0,0.5075,2.1929,0.19,3.5897,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5038,0.0062,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,15,70.6,19.7,9.70,-1,1.305000012,2.65,,0,0.5075,2.07,0.1987,3.367,0,0.5075,14.8829,0.2723,23.0748,0.0592,0.5075,7.1232,0.3799,10.4521,0,0.5075,15.8913,0.2994,24.2632,-1,-1,-1,-1,-1,0,0.5075,0.89,0.19,1.4569,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5029,0.0081,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,15,70.6,19.7,9.70,-1,1.305000012,2.65,,0,0.5075,2.07,0.1987,3.367,0,0.5075,14.8829,0.2723,23.0748,0.0592,0.5075,7.1232,0.3799,10.4521,0,0.5075,15.8913,0.2994,24.2632,-1,-1,-1,-1,-1,0,0.5075,0.89,0.19,1.4569,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5029,0.0081,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,15,52.2,33.3,14.50,-1,1.305000012,2.65,,0,0.5075,6.2449,0.2007,10.1431,0,0.5075,22.2456,0.1952,36.2757,0.0697,0.5075,12.499,0.3472,18.6216,0,0.5075,12.7764,0.2089,20.6305,-1,-1,-1,-1,-1,0,0.5075,3.7445,0.19,6.1295,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5053,0.0043,0.3855,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,15,42.6,47.7,9.7,-1,1.19973683,2.65,,0,0.5473,13.0236,0.2524,20.4353,0,0.5473,17.5063,0.1977,28.4951,0.0489,0.5473,16.5353,0.358,24.5084,0,0.5473,9.0323,0.2121,14.5519,-1,-1,-1,-1,-1,0,0.5473,1.4459,0.19,2.3668,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5623,0.0128,0.3501,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,15,42.6,47.7,9.7,-1,1.19973683,2.65,,0,0.5473,13.0236,0.2524,20.4353,0,0.5473,17.5063,0.1977,28.4951,0.0489,0.5473,16.5353,0.358,24.5084,0,0.5473,9.0323,0.2121,14.5519,-1,-1,-1,-1,-1,0,0.5473,1.4459,0.19,2.3668,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5623,0.0128,0.3501,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,15,42.6,47.7,9.7,-1,1.19973683,2.65,,0,0.5473,13.0236,0.2524,20.4353,0,0.5473,17.5063,0.1977,28.4951,0.0489,0.5473,16.5353,0.358,24.5084,0,0.5473,9.0323,0.2121,14.5519,-1,-1,-1,-1,-1,0,0.5473,1.4459,0.19,2.3668,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5623,0.0128,0.3501,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,15,43,38.5,18.6,-1,1.19973683,2.65,,0,0.5473,6.5796,0.1958,10.7243,0,0.5473,19.9698,0.1622,33.4036,0.0782,0.5473,14.2827,0.3224,21.5431,0,0.5473,8.8092,0.1764,14.5702,-1,-1,-1,-1,-1,0,0.5473,3.4283,0.19,5.612,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5674,0.0045,0.3501,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,15,32.6,48,19.3,-1,1.313235318,2.65,,0,0.5044,18.8758,0.2136,30.3798,0,0.5044,34.95,0.1422,59.4492,0.0778,0.5044,25.9007,0.3234,39.0472,0,0.5044,9.3411,0.1423,15.8876,-1,-1,-1,-1,-1,0,0.5044,12.842,0.19,21.0216,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.504,0.0022,0.3882,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,15,29.9,54.1,16,-1,1.313235318,2.65,,0,0.5044,24.4641,0.2377,38.7442,0,0.5044,33.8429,0.1475,57.3033,0.0673,0.5044,28.3433,0.3373,42.4311,0,0.5044,9.0022,0.1478,15.2386,-1,-1,-1,-1,-1,0,0.5044,10.5921,0.19,17.3387,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5016,0.0034,0.3882,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,15,37.1,37.5,25.4,-1,1.313235318,2.65,,0,0.5044,12.04,0.1727,19.9709,0,0.5044,37.4023,0.1319,64.1996,0.0945,0.5044,21.9936,0.2924,33.7098,0,0.5044,10.1027,0.1362,17.275,-1,-1,-1,-1,-1,0,0.5044,18.2886,0.19,29.9373,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5096,0.001,0.3882,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,15,32.1,49.8,18.1,-1,1.313235318,2.65,,0,0.5044,20.2198,0.2214,32.37,0,0.5044,34.2705,0.145,58.1536,0.0742,0.5044,26.3348,0.3288,39.5928,0,0.5044,9.2866,0.145,15.7587,-1,-1,-1,-1,-1,0,0.5044,11.7924,0.19,19.3035,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5031,0.0026,0.3882,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,15,65,27.9,7.1,-1,1.33705879,2.65,,0,0.4954,5.337,0.2327,8.4799,0,0.4954,16.2833,0.2756,25.1971,0.0482,0.4954,10.2912,0.3973,14.9861,0,0.4954,15.3135,0.292,23.4764,-1,-1,-1,-1,-1,0,0.4954,1.0836,0.19,1.7737,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4839,0.0098,0.3963,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,15,43.9,38.2,17.9,-1,1.33705879,2.65,,0,0.4954,10.6125,0.1979,17.2716,0,0.4954,30.2443,0.1662,50.4256,0.0777,0.4954,17.6517,0.3309,26.5094,0,0.4954,12.1886,0.1708,20.2476,-1,-1,-1,-1,-1,0,0.4954,9.2946,0.19,15.2147,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4895,0.0024,0.3963,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,15,59,36.9,4.1,-1,1.33705879,2.65,,0,0.4954,12.0483,0.2721,18.6813,0,0.4954,16.7417,0.2786,25.861,0.0341,0.4954,14.0711,0.4084,20.3948,0,0.4954,13.8435,0.3007,21.1216,-1,-1,-1,-1,-1,0,0.4954,0.9872,0.19,1.616,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4832,0.0146,0.3963,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,15,55.5,34.4,10.1,-1,1.33705879,2.65,,0,0.4954,7.9948,0.2247,12.7704,0,0.4954,20.537,0.2262,32.7708,0.0562,0.4954,12.8952,0.3745,18.9675,0,0.4954,13.9786,0.2377,22.1379,-1,-1,-1,-1,-1,0,0.4954,2.5627,0.19,4.195,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.485,0.0066,0.3963,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,15,50.4,40.8,8.8,-1,1.313333339,2.65,,0,0.5044,11.9977,0.2445,18.9193,0,0.5044,20.53,0.221,32.8742,0.0494,0.5044,15.3619,0.3759,22.5816,0,0.5044,12.3749,0.231,19.6846,-1,-1,-1,-1,-1,0,0.5044,2.3012,0.19,3.7669,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4979,0.0087,0.3883,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,15,52.3,43.1,4.6,-1,1.313333339,2.65,,0,0.5044,16.281,0.2758,25.1898,0,0.5044,18.0782,0.2522,28.3695,0.0336,0.5044,16.2403,0.3959,23.6638,0,0.5044,12.3957,0.2735,19.2048,-1,-1,-1,-1,-1,0,0.5044,1.2497,0.19,2.0458,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4967,0.015,0.3883,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,15,51.5,39.8,8.7,-1,1.313333339,2.65,,0,0.5044,11.2549,0.2432,17.7622,0,0.5044,20.1211,0.2244,32.1463,0.0494,0.5044,14.8506,0.377,21.819,0,0.5044,12.5584,0.235,19.9242,-1,-1,-1,-1,-1,0,0.5044,2.1627,0.19,3.5403,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4978,0.0088,0.3883,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,15,55,33.9,11.1,-1,1.313333339,2.65,,0,0.5044,6.9579,0.2182,11.1632,0,0.5044,20.0918,0.2191,32.2149,0.0593,0.5044,12.3338,0.3666,18.2076,0,0.5044,13.3401,0.2324,21.2,-1,-1,-1,-1,-1,0,0.5044,2.4406,0.19,3.9952,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4988,0.0065,0.3883,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,15,56.5,33.5,10,-1,1.27470589,2.65,,0,0.519,6.0838,0.2235,9.7257,0,0.519,17.523,0.2294,27.9035,0.0552,0.519,11.4378,0.3693,16.8639,0,0.519,12.6571,0.2461,19.9384,-1,-1,-1,-1,-1,0,0.519,1.4728,0.19,2.4109,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5201,0.0089,0.3753,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,15,55.2,35.2,9.6,-1,1.27470589,2.65,,0,0.519,7.0083,0.2292,11.1614,0,0.519,17.726,0.2285,28.2423,0.0533,0.519,12.1199,0.3708,17.8577,0,0.519,12.4041,0.244,19.5652,-1,-1,-1,-1,-1,0,0.519,1.4917,0.19,2.4418,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.52,0.0093,0.3753,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,15,66.4,22,11.6,-1,1.27470589,2.65,,0,0.519,2.1456,0.1915,3.5081,0,0.519,15.5735,0.244,24.5646,0.064,0.519,7.4078,0.3633,10.9524,0,0.519,14.6088,0.2742,22.624,-1,-1,-1,-1,-1,0,0.519,1.1156,0.19,1.8262,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5208,0.0073,0.3753,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,15,59.6,28.3,12.2,-1,1.27470589,2.65,,0,0.519,3.7268,0.2008,6.0526,0,0.519,17.4898,0.2231,27.9665,0.0639,0.519,9.4791,0.3583,14.0474,0,0.519,13.3558,0.2457,21.0449,-1,-1,-1,-1,-1,0,0.519,1.6564,0.19,2.7114,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5211,0.0067,0.3753,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,15,63.5,28.9,7.6,-1,1.30456522,2.65,,0,0.5077,5.0862,0.2306,8.0924,0,0.5077,15.887,0.2664,24.7165,0.049,0.5077,10.1899,0.3895,14.889,0,0.5077,14.3572,0.2847,22.1013,-1,-1,-1,-1,-1,0,0.5077,0.9717,0.19,1.5906,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5024,0.0106,0.3853,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,15,42.1,42.6,15.3,-1,1.30456522,2.65,,0,0.5077,12.3292,0.2172,19.7945,0,0.5077,26.5864,0.1729,44.0939,0.069,0.5077,18.2445,0.3423,27.2457,0,0.5077,10.8515,0.1773,17.9349,-1,-1,-1,-1,-1,0,0.5077,6.0025,0.19,9.8258,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.506,0.0039,0.3853,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,15,80.3,11,8.8,-1,1.30456522,2.65,,0,0.5077,0.8953,0.1891,1.4666,0,0.5077,12.4833,0.3197,18.8547,0.059,0.5077,5.1464,0.391,7.5147,0,0.5077,17.4719,0.3488,26.0092,-1,-1,-1,-1,-1,0,0.5077,0.4452,0.19,0.7288,-1,-1,-1,-1,-1,0.025,0.366,0.043,1.5206,0.3424,5.3988,0,0.5028,0.0091,0.3853,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
