"","Plot","SAND","SILT","CLAY","Field_cap","Perm_wilt","AWC","dens$dens"
"1","DES1014",50.8,39.6,9.6,30.6991021945014,13.7247530501969,16.9743491443045,1.36147365821035
"2","DES1014120",51.1,35.9,12.9,18.9299645033134,11.898304293269,7.03166021004436,1.36147365821035
"3","DES1014240",59,31.2,9.8,30.1201460629254,11.9871176589415,18.1330284039839,1.36147365821035
"4","DES1014360",60.4,29.9,9.7,29.9937943927416,11.8289749732368,18.1648194195048,1.35765954281421
"5","DES105",53.8,34.8,11.4,30.5050204126364,11.8547814666406,18.6502389459959,1.35882975573235
"6","DES105120",43.1,46.8,10.1,30.8178874191399,14.8597194958535,15.9581679232864,1.35882975573235
"7","DES105240",59.2,20.5,20.2,19.2137625758205,11.7481236911292,7.46563888469127,1.35882975573235
"8","DES105360",55.9,34.5,9.6,30.4106257864569,12.7351785713327,17.6754472151241,1.35882975573235
"9","DES998",52.4,43.1,4.6,48.8312062519199,27.6656165585795,21.1655896933404,1.41443299202575
"10","DES998120",60.2,32.9,6.9,31.4654212340229,16.2806125526506,15.1848086813723,1.41443299202575
"11","DES998240",55.3,39.4,5.3,34.540132413822,23.0351564285373,11.5049759852847,1.41443299202575
"12","DES998360",52.5,40.5,7.1,43.6668208635165,17.2855863527834,26.3812345107331,1.41443299202575
"13","DIA248",54.8,32.9,12.2,18.5739708166493,11.4682538979299,7.10571691871941,1.41375003755093
"14","DIA248120",50,34.5,15.5,31.4344820765527,11.7371463935484,19.6973356830044,1.41375003755093
"15","DIA248240",58.7,28.5,12.9,42.1273926471276,10.4473496176855,31.6800430294421,1.41375003755093
"16","DIA248360",57,33.3,9.8,42.224389940624,12.2397787912639,29.9846111493601,1.41375003755093
"17","DIA333",58.2,29.1,12.7,30.2325992720689,10.6769741251184,19.5556251469505,1.31974489287454
"18","DIA333120",59,28.1,12.8,18.2234363976422,10.6475054899364,7.57593090770577,1.31974489287454
"19","DIA333240",57.2,30.3,12.5,30.3160259617016,10.8810813384615,19.4349446232401,1.31974489287454
"20","DIA333360",54.8,30.1,15.1,30.9555182930962,11.0063833674772,19.9491349256191,1.31974489287454
"21","FC791",47.5,37,15.5,31.581976579826,12.1308438777589,19.4511327020671,1.31583334008853
"22","FC791120",41.3,38.6,20.2,44.9372943147246,13.5770373053724,31.3602570093522,1.31583334008853
"23","FC791240",48.1,38.4,13.5,31.1184767089635,12.1902144241164,18.9282622848471,1.31583334008853
"24","FC791360",52.9,34.3,12.8,30.721825210705,11.5127160032491,19.2091092074559,1.31583334008853
"25","FC795",54.3,23.9,21.9,44.1365522723736,12.5739456172456,31.562606655128,1.30588237678303
"26","FC795120",54.1,34.3,11.6,30.4979509317563,11.7094592329657,18.7884916987906,1.30588237678303
"27","FC795240",52.5,37.1,10.4,30.5612617306506,12.6990645732601,17.8621971573905,1.30588237678303
"28","FC795360",64.1,29.1,6.7,19.3746590879437,16.163836461499,3.21082262644461,1.30588237678303
"29","NP342360",58.2,36.6,5.2,34.6510923792175,22.8952503365054,11.7558420427121,1.28413043657075
"30","NP342",62.4,27.2,10.4,29.6740673527838,10.9524601858974,18.7216071668864,1.28413043657075
"31","NP342120",50.4,34.5,15.1,31.3213365414085,11.6681419674656,19.653194573943,1.28413043657075
"32","NP342240",51.3,40,8.7,30.8698219155867,14.6863949770787,16.183426938508,1.28413043657075
"33","NPELECTRICEEL",39.3,42.5,18.3,44.4908855069843,13.5608043532307,30.9300811537536,1.30500001201824
"34","NPELECTRICEEL120",46.2,38.7,15.1,31.5480698713272,12.348644927783,19.1994249435442,1.30500001201824
"35","NPELECTRICEEL240",45.1,43.6,11.2,18.9286319748135,13.7119568667247,5.21667510808872,1.30500001201824
"36","NPELECTRICEEL360",48.9,38.6,12.5,30.9057721765348,12.2985523746421,18.6072198018927,1.30500001201824
"37","RAV339",54.4,35.4,10.2,30.4535593045457,12.4937889632353,17.9597703413104,1.2645408121907
"38","RAV339120",70,24.4,5.6,32.3722457926979,18.6767992142857,13.6954465784122,1.2645408121907
"39","RAV339240",68,24.7,7.4,41.9880591795772,13.5701716303656,28.4178875492116,1.2645408121907
"40","RAV339360",81.8,13.6,4.6,32.6338305997197,21.9092382021898,10.7245923975298,1.2645408121907
"41","RAV358",57.7,30.5,11.8,30.2041469323685,11.0172509432482,19.1868959891203,1.30500001201824
"42","RAV358120",70.6,19.7,9.7,28.4065352474863,10.1884296062031,18.2181056412832,1.30500001201824
"43","RAV358240",70.6,19.7,9.7,28.4065352474863,10.1884296062031,18.2181056412832,1.30500001201824
"44","RAV358360",52.2,33.3,14.5,31.0694014898108,11.3977764061303,19.6716250836806,1.30500001201824
"45","ROB926",42.6,47.7,9.7,30.8332930470751,15.3579157884904,15.4753772585848,1.1997368304353
"46","ROB926120",42.6,47.7,9.7,30.8332930470751,15.3579157884904,15.4753772585848,1.1997368304353
"47","ROB926360",42.6,47.7,9.7,30.8332930470751,15.3579157884904,15.4753772585848,1.1997368304353
"48","ROB926240",43,38.5,18.6,44.4706602580609,13.0283740915229,31.442286166538,1.1997368304353
"49","ROB938",32.6,48,19.3,20.925861844793,14.9615589060046,5.96430293878834,1.3132353179595
"50","ROB938120",29.9,54.1,16,31.7387183993851,15.3379018398829,16.4008165595022,1.3132353179595
"51","ROB938240",37.1,37.5,25.4,34.3715676664888,15.5705306256977,18.8010370407911,1.3132353179595
"52","ROB938360",32.1,49.8,18.1,32.4732667433946,14.8703352349185,17.6029315084761,1.3132353179595
"53","SHO424",65,27.9,7.1,30.7547162954033,14.8785701256771,15.8761461697262,1.33705878958983
"54","SHO424120",43.9,38.2,17.9,32.3340235347641,12.8858270740255,19.4481964607386,1.33705878958983
"55","SHO424240",59,36.9,4.1,38.9597136305547,30.0811523199669,8.87856131058776,1.33705878958983
"56","SHO424360",55.5,34.4,10.1,30.3834603134219,12.3691895939702,18.0142707194517,1.33705878958983
"57","SHO446",50.4,40.8,8.8,30.8733526206015,14.7378294271284,16.1355231934731,1.31333333916134
"58","SHO446120",52.3,43.1,4.6,36.9104970644512,27.7836543928007,9.12684267165045,1.31333333916134
"59","SHO446240",51.5,39.8,8.7,30.8618418248716,14.6450453377971,16.2167964870745,1.31333333916134
"60","SHO446360",55,33.9,11.1,30.4033640020971,11.7951694594595,18.6081945426376,1.31333333916134
"61","SPR1575",56.5,33.5,10,30.3157778928016,12.2672821061947,18.048495786607,1.27470588964574
"62","SPR1575120",55.2,35.2,9.6,30.4600575516833,12.8668688351449,17.5931887165384,1.27470588964574
"63","SPR1575240",66.4,22,11.6,29.0007716387081,9.75366914353967,19.2471024951684,1.27470588964574
"64","SPR1575360",59.6,28.3,12.2,41.9560375747806,10.4690340350974,31.4870035396832,1.27470588964574
"65","SPR1620",63.5,28.9,7.6,30.5055227249013,14.0966720033154,16.4088507215859,1.30456521977549
"66","SPR1620120",42.1,42.6,15.3,31.7164797410915,13.0477891502026,18.6686905908889,1.30456521977549
"67","SPR1620240",80.3,11,8.8,37.5410536512063,9.55176701432127,27.989286636885,1.30456521977549
"68","SPR1620360",70.1,18.7,11.2,28.2566934375845,9.38336574602612,18.8733276915584,1.30456521977549
"69","SS256",41.6,44.4,13.9,19.4522974325737,13.3946769795932,6.05762045298044,1.4964705916012
"70","SS256120",57.6,31.7,10.7,30.1832434624903,11.5700387196911,18.6132047427992,1.4964705916012
"71","SS256240",39.2,46.4,14.5,43.4522301771904,13.5745116703026,29.8777185068878,1.4964705916012
"72","SS256360",38.8,43.7,17.6,44.3038275469935,13.5742573596532,30.7295701873403,1.4964705916012
"73","SS32",47.9,35.8,16.3,31.7466084040789,12.1034678068061,19.6431405972728,1.18000002660249
"74","SS32120",49.7,37.7,12.6,30.8840112544876,12.1231128511066,18.760898403381,1.18000002660249
"75","SS32240",53.9,34.3,11.8,30.5292400362032,11.6602193085437,18.8690207276594,1.18000002660249
"76","SS32360",53.5,32.3,14.2,30.9087852119264,11.2100645279716,19.6987206839549,1.18000002660249
"77","SS452",39.8,48.2,12,30.9726515357524,14.2873764095477,16.6852751262047,1.26911767090068
"78","SS452120",42.9,45.7,11.4,30.8939265271929,13.954444560054,16.9394819671389,1.26911767090068
"79","SS452240",42.9,45.7,11.4,30.8939265271929,13.954444560054,16.9394819671389,1.26911767090068
"80","SS452360",41.7,49.5,8.8,30.9609134850834,16.655921882821,14.3049916022624,1.26911767090068
"81","SS604",54.1,34.1,11.8,30.5146686641219,11.6254146245496,18.8892540395723,1.23937499523163
"82","SS604120",45.6,40.1,14.2,19.4389398948369,12.6186562403014,6.8202836545355,1.23937499523163
"83","SS604240",44.4,45.5,10.1,30.8138904835814,14.5789598191954,16.234930664386,1.23937499523163
"84","SS604360",56.2,36,7.7,19.1613130505248,15.4159198095854,3.74539324093935,1.23937499523163
"85","TOI1577",42.3,46.2,11.5,30.9079658045757,14.0225942736149,16.8853715309608,1.28873736930616
"86","TOI1577360",55,33.4,11.6,30.4300547277071,11.5526718965517,18.8773828311554,1.28873736930616
"87","TOI1596",44.5,40.6,14.9,31.5601658623636,12.6490127296584,18.9111531327053,1.21402063935073
"88","TOI1596120",44.5,40.6,14.9,31.5601658623636,12.6490127296584,18.9111531327053,1.21402063935073
"89","TOI1596240",49.1,38.6,12.3,30.8668478644322,12.3294984751875,18.5373493892447,1.21402063935073
"90","TOI1596360",50,43.2,6.9,43.9360025752067,18.347026373913,25.5889762012936,1.20310527839159
"91","TOI533",41.3,45.3,13.4,31.2601559481282,13.4741972722706,17.7859586758576,1.33147057364969
"92","TOI533120",50.7,32.9,16.4,31.5802229669571,11.6954931966133,19.8847297703438,1.33147057364969
"93","TOI533240",39.3,48.4,12.3,31.0217951268314,14.2553004132067,16.7664947136247,1.33147057364969
"94","TOI533360",44.2,41.7,14.1,31.3792277500033,12.7869657131029,18.5922620369005,1.33147057364969
"95","WHIS25",69.2,20.1,10.8,40.4388594834636,9.55938231213869,30.8794771713249,1.12999999523163
"96","WHIS25120",53.6,28.9,17.4,19.5943691342327,11.5603363116315,8.0340328226012,1.12999999523163
"97","WHIS25240",62.1,26.6,11.2,17.7474592993949,10.674114928859,7.07334437053595,1.12999999523163
"98","WHIS25360",82.7,12.3,5,30.716342313779,19.387946859734,11.3283954540451,1.12999999523163
"99","WHIS64",65.9,25.4,8.7,29.5782486198714,11.949153276333,17.6290953435384,1.29999995231628
"100","WHIS64120",67.1,26.4,6.5,31.1845649822626,16.0531126027743,15.1314523794883,1.29999995231628
"101","WHIS64240",67.1,26.4,6.5,31.1845649822626,16.0531126027743,15.1314523794883,1.29999995231628
"102","WHIS64360",60.8,31.2,8,30.5329522637749,13.8773651907895,16.6555870729854,1.29999995231628
